user_id,task_order_str,user_group,created_time
Participant-122,test-149|test-859|test-388|test-497|test-675|test-200,UP-AE,2024-08-22 15:50:23.415
Participant-169,test-497|test-388|test-200|test-675|test-859|test-149,UP-AE,2024-08-22 16:04:22.834
Participant-129,test-200|test-388|test-859|test-149|test-497|test-675,UP-AE,2024-08-22 16:13:39.749
Participant-44,test-388|test-675|test-859|test-200|test-497|test-149,UP-AE,2024-08-22 16:21:39.161
Participant-185,test-200|test-388|test-859|test-497|test-149|test-675,UP-AE,2024-08-22 16:36:21.536
Participant-87,test-149|test-200|test-388|test-859|test-497|test-675,UP-AE,2024-08-22 16:47:30.468
Participant-174,test-675|test-388|test-200|test-859|test-497|test-149,UP-AE,2024-08-22 17:03:39.824
Participant-71,test-388|test-859|test-200|test-675|test-497|test-149,UP-AE,2024-08-22 19:08:29.929
Participant-131,test-675|test-149|test-200|test-859|test-388|test-497,UP-AE,2024-08-22 16:58:18.815
Participant-123,test-200|test-388|test-859|test-497|test-149|test-675,UP-AE,2024-08-22 16:39:57.621
Participant-16,test-149|test-497|test-859|test-675|test-200|test-388,UP-AE,2024-08-22 18:04:38.845
Participant-65,test-859|test-149|test-388|test-200|test-497|test-675,UP-AE,2024-08-22 18:04:46.845
Participant-154,test-388|test-497|test-149|test-200|test-859|test-675,UP-AE,2024-08-22 18:05:47.805
Participant-45,test-497|test-675|test-149|test-200|test-859|test-388,UP-AE,2024-08-22 18:23:32.261
Participant-240,test-149|test-497|test-388|test-859|test-675|test-200,UP-AE,2024-08-22 18:44:39.465
Participant-220,test-388|test-675|test-200|test-149|test-859|test-497,UP-AE,2024-08-22 18:46:42.849
Participant-142,test-149|test-497|test-200|test-388|test-675|test-859,UP-AE,2024-08-22 19:02:37.379
Participant-226,test-200|test-388|test-497|test-675|test-859|test-149,UP-AE,2024-08-22 19:15:20.606
Participant-111,test-149|test-200|test-675|test-497|test-388|test-859,UP-AE,2024-08-22 19:15:24.006
Participant-237,test-859|test-675|test-388|test-149|test-497|test-200,UP-AE,2024-08-22 19:55:19.524
Participant-153,test-200|test-675|test-497|test-859|test-388|test-149,UP-AE,2024-08-22 19:59:52.897
Participant-108,test-388|test-149|test-200|test-859|test-675|test-497,UP-AE,2024-08-22 19:28:48.204
Participant-50,test-497|test-859|test-675|test-200|test-149|test-388,UP-AE,2024-08-22 19:44:03.660
Participant-80,test-149|test-388|test-859|test-675|test-200|test-497,UP-AE,2024-08-22 20:12:40.742
Participant-116,test-859|test-497|test-200|test-675|test-388|test-149,UP-AE,2024-08-22 20:17:22.558
Participant-41,test-388|test-149|test-859|test-675|test-497|test-200,UP-AE,2024-08-22 20:37:17.202
Participant-156,test-200|test-675|test-859|test-388|test-497|test-149,UP-UE,2024-08-22 21:25:55.120
Participant-172,test-675|test-497|test-200|test-388|test-859|test-149,UP-UE,2024-08-22 21:26:40.108
